date,phoenix,tucson,prescott,lake_havasu_city,yuma,flagstaff,sierra_vista,show_low,payson,nogales,safford
2000,146483.75,129241.75,148761.5,108556.16666666667,95870.932835498,174949.91666666666,68015.53392927922,93211.08333333333,78928.08333333333,66456.75,88042.5
2001,154749.58333333334,135562.33333333334,157227.41666666666,113817.25,100768.16167657991,184080.5,71717.45332637643,99531.5,83716.08333333333,71913.0,93207.66666666667
2002,162163.33333333334,143890.5,168171.25,122975.0,112457.19153938029,196108.33333333334,72247.26697520107,104277.25,88145.08333333333,77259.16666666667,96893.25
2003,170639.0,154793.08333333334,180120.58333333334,142580.41666666666,118865.41666666667,212111.16666666666,73101.47011482982,108908.75,92704.08333333333,82168.25,100625.25
2004,185578.33333333334,169901.25,199104.91666666666,177254.16666666666,130906.33333333333,238786.83333333334,75638.43242202647,116893.25,103709.0,92412.58333333333,110875.75
2005,245141.33333333334,211488.58333333334,248518.83333333334,221915.66666666666,167600.91666666666,295915.6666666667,85580.215428191,134366.75,129486.25,116198.5,138194.66666666666
2006,300741.0833333333,245873.0,307439.1666666667,261585.16666666666,207023.66666666666,366168.3333333333,105008.42798188516,165860.16666666666,171149.75,148585.16666666666,160846.08333333334
2007,284101.9166666667,242189.58333333334,305892.5,253642.25,207230.0,374235.1666666667,119922.91827177581,191745.66666666666,194657.25,149114.83333333334,158150.08333333334
2008,230373.66666666666,215070.58333333334,274202.0,214908.0,185564.08333333334,340928.75,117384.71887874704,187242.33333333334,184212.08333333334,136432.33333333334,140448.16666666666
2009,171340.08333333334,187705.16666666666,230320.75,168788.0,156775.91666666666,308082.3333333333,107083.33333333333,168789.66666666666,156756.0,118552.66666666667,118143.83333333333
2010,154267.91666666666,172035.16666666666,202178.91666666666,148888.91666666666,144618.83333333334,286812.8333333333,99520.0,149597.75,140060.33333333334,104950.75,103568.58333333333
2011,136349.75,151119.75,181824.41666666666,137674.16666666666,123339.91666666667,249299.83333333334,93282.66666666667,135618.33333333334,128591.58333333333,95683.75,93978.33333333333
2012,151037.91666666666,146297.41666666666,180923.5,140021.41666666666,118007.0,246102.0,98033.0,142560.58333333334,133880.75,99637.83333333333,98571.0
2013,183996.58333333334,158759.75,204770.58333333334,152380.33333333334,124037.75,270473.25,110836.08333333333,157833.66666666666,151679.91666666666,112255.66666666667,113686.33333333333
2014,200673.91666666666,168930.66666666666,228873.58333333334,166471.75,132227.75,289502.9166666667,119750.66666666667,167545.25,163872.58333333334,121272.16666666667,125319.83333333333
2015,211519.25,170291.08333333334,238947.5,172943.83333333334,135737.0,298341.5,127426.75,174641.33333333334,174737.16666666666,128903.08333333333,135784.5
2016,226242.5,176433.41666666666,253164.25,181306.41666666666,138827.66666666666,314229.6666666667,132313.58333333334,182384.41666666666,187249.66666666666,136685.08333333334,148605.41666666666
2017,240555.75,187900.83333333334,273892.8333333333,193183.25,147362.91666666666,334655.0833333333,137397.83333333334,190821.0,192621.16666666666,144949.33333333334,160951.66666666666
2018,258600.41666666666,201831.58333333334,295527.0833333333,211232.75,155228.0,352003.4166666667,143153.0,204608.33333333334,204601.83333333334,152866.16666666666,170999.66666666666
2019,274341.5833333333,214140.58333333334,311479.0833333333,231352.25,161508.5,366319.9166666667,153527.58333333334,220965.83333333334,218444.25,160661.08333333334,177518.0
2020,302379.4166666667,232718.83333333334,333553.1666666667,252733.91666666666,174260.25,386336.25,165459.5,237601.16666666666,237203.0,169836.91666666666,186966.16666666666
2021,369959.77777777775,276191.3333333333,408414.77777777775,303799.1111111111,207797.77777777778,470064.77777777775,185721.66666666666,291742.6666666667,281455.6666666667,188705.30499343664,206861.98065530744
