date,prescott hmi,total_arrests,crime_rate,population_estimates,poverty_percentage,state_tax
2000,148761.5,6746,4790.6,168886,12,28921000
2001,157227.4167,11993,4649.8,173285,13,28921000
2002,168171.25,11478,4587.3,178390,12,32497000
2003,180120.5833,11082,4407.5,183400,12,36446000
2004,199104.9167,12031,4274.2,189532,12,41321000
2005,248518.8333,12769,3985,197533,12,45088000
2006,307439.1667,12927,3491.2,206672,12.4,50351000
2007,305892.5,12856,3321.6,212004,12.6,56254000
2008,274202,11863,3077.8,214930,13,45642000
2009,230320.75,11908,2912.6,215686,14.2,50382000
2010,202178.9167,6746,3006.1,210983,18.3,53905000
2011,181824.4167,12769,3038.8,211044,18.4,55056000
2012,180923.5,11993,2981.1,211990,15.7,51887000
2013,204770.5833,12031,2880.8,214421,16.4,52131000
2014,228873.5833,11908,2291.8,217716,15.6,45050000
2015,238947.5,11993,2872.3,220805,15.1,51335000
2016,253164.25,12031,2809,224575,13.3,53116000
2017,273892.8333,11908,2768.2,228082,13.9,54756000
2018,295527.0833,12856,2313,231772,12,56254000
2019,311479.0833,11993,2217.5,235099,12,51335000
2020,333553.1667,11478,2872.3,228082,12,45050000
2021,408414.7778,11863,2809,235099,12,50382000
