date,lake_havasu_city_hmi,total_arrests,crime_rate,population_estimates,poverty_percentage,state_tax
2000,108556.1667,11459,4936.4,156194,15,26588000
2001,113817.25,11212,5221.6,159840,16,29325000
2002,122975,11910,5489.4,165177,15,27522000
2003,142580.4167,13953,6344.7,171019,14,29325000
2004,177254.1667,15840,6308.2,178313,15,32768000
2005,221915.6667,16608,6145.2,185940,15,43663000
2006,261585.1667,17255,5580.1,192724,16,49790000
2007,253642.25,16705,5384.3,195852,13.5,54301000
2008,214908,15808,4336.3,195601,17,51325000
2009,168788,15855,3984.7,194825,17.8,59585000
2010,148888.9167,15840,3843.1,200314,18.7,60460000
2011,137674.1667,11459,3835.3,202812,21.7,57461000
2012,140021.4167,16608,8885.5,203347,21.1,54301000
2013,152380.3333,15808,8546.1,203126,21.3,51878000
2014,166471.75,15808,8347.9,203423,20.8,44831000
2015,172943.8333,16608,7664.8,204574,17.4,44884000
2016,181306.4167,17255,8263.4,205412,18.3,47900000
2017,193183.25,15840,8409.3,207017,17.3,51604000
2018,211232.75,11459,7259.7,209292,17,55799000
2019,231352.25,11212,6978.3,212181,16,59585000
2020,252733.9167,15840,7664.8,203347,20.8,49790000
2021,303799.1111,15808,6145.2,207017,14,54301000
